,image_path,prompt,note
0,/combined_first_frames/combined_12.png,"ad23r2 the camera view suddenly changes. A medium shot features Akira Toriyama, smiling and wearing glasses, holding the red-haired Super Saiyan God Goku figure. The figure, depicted in its orange gi, stands just a bit larger than Akira's hands, appearing slightly larger than his hand as he holds it. Toriyama gestures towards the figure, looking directly at the camera with an enthusiastic expression, praising it by saying, \""it is very good,\"" clearly promoting it for sale to the audience.",鸟山明带货
1,/combined_first_frames/combined_16.png,"ad23r2 the camera view suddenly changes. Cinematic medium shot tracking through a dense, lush jungle environment filled with large trees and green foliage. A large, powerfully built tiger with orange and black stripes walks steadily through the undergrowth. Riding bareback on the tiger is the muscular, shirtless man with long hair, wearing simple brown pants. He sits upright with a commanding and confident posture, moving effortlessly with the animal. The camera follows them, capturing the man's focused expression and his clear dominion over the powerful predator, portraying him as the undisputed king of the forest.",泰山骑虎
2,/combined_first_frames/combined_19.png,"ad23r2 the camera view suddenly changes. The video opens in a bright, modern conference room with a long white table. The entire scene is rendered in black and white. Seated at the table are Albert Einstein, and Mahatma Gandhi. The camera focuses on a medium shot of the two figures, slowly panning and cutting between them as they engage in an earnest conversation about world peace. Einstein is shown gesturing thoughtfully, while Gandhi, wearing his glasses and robes, speaks with a calm and focused demeanor, their expressions conveying the importance of their discussion. The stark, contemporary setting contrasts with the historical, black and white figures, highlighting the timeless significance of their ideas.",甘地和爱因斯坦
3,/combined_first_frames/combined_20.png,"ad23r2 the camera view suddenly changes. The video opens from a first-person driver's perspective, navigating a multi-lane highway during a heavy downpour. The road is slick with rain, and visibility is poor due to fog and the spray from surrounding cars. Suddenly, a bright red Ferrari F8 Tributo aggressively accelerates from an adjacent lane. The sports car swerves sharply, cutting directly in front of the camera's vehicle with very little space. The camera focuses on the rear of the red Ferrari, its distinctive twin taillights glowing, as it kicks up a massive plume of water and road spray, momentarily blinding the driver before it speeds off into the misty conditions.",下雨开车
4,/combined_first_frames/combined_28.png,"ad23r2 the camera view suddenly changes. High-quality, cinematic video. The scene opens on a wide shot identical to the main image: Arthur Morgan, in his cowboy hat, sits atop his brown and white pinto horse on a grassy overlook, rifle in hand. He gazes over a valley toward distant, snow-capped mountains. A strange, deafening mechanical roar echoes through the valley. Arthur's head snaps up, his expression turning from calm to confused as he searches the sky. The camera cuts to follow the source of the noise: a modern United Airlines passenger jet, starkly out of place, flying erratically and dangerously low. Smoke billows from one of its engines. A medium shot captures Arthur's utter disbelief. The camera then tracks the airplane as it careens downward, disappearing behind a distant mountain ridge. A moment of silence is broken by a massive, fiery explosion, sending a plume of thick black smoke billowing into the sky. The video ends on a tight shot of Arthur's face, frozen in shock as he witnesses the impossible crash.",荒野嫖客看飞机
5,/combined_first_frames/combined_30.png,"ad23r2 the camera view suddenly changes. The video begins from a first-person perspective, simulating the view of someone snorkeling underwater. The setting is a vibrant, clear-blue coral reef, with sunlight filtering through the water's surface from above. As the viewer ""swims"" forward, a large shark, suddenly glides past from one side of the frame to the other. Following this, a sea turtle with a brown patterned shell, gracefully swims by in the opposite direction.",水下海龟鲨鱼
6,/combined_first_frames/combined_35.png,"ad23r2 the camera view suddenly changes. A wide shot establishes a bright, sunlit landscape of rolling green hills and a grassy field with a dirt path, under a blue sky with white clouds. The camera moves forward to focus on two small, 3D animated figures standing in the field. On the left, Crayon Shin-chan, wearing a yellow shirt, blue shorts, and a green cape, strikes a determined, heroic pose with his right fist raised. On the right, the figure of Nezha stands in a low, intense martial arts stance, ready for action. Both characters hold their distinct, dynamic poses against the peaceful, scenic backdrop.",蜡笔小新和哪吒
7,/combined_first_frames/combined_36.png,"ad23r2 the camera view suddenly changes. A professional, commercial-style shot opens with the One Punch Man action figure standing heroically in the center of a desolate, destroyed city. The background is filled with smoldering rubble, debris, and the silhouettes of crumbling buildings. The camera slowly pans around the figure, highlighting its iconic yellow suit, red gloves, and flowing white cape. It then pushes in for a dramatic low-angle shot, focusing on the figure's powerful clenched-fist posture, capturing the meticulous detail of the product against the chaotic backdrop.",一拳超人手办
8,/combined_first_frames/combined_39.png,"ad23r2 the camera view suddenly changes. A dynamic first-person point of view from a swimmer moving through clear, turquoise ocean water. Sunlight filters down from the surface, casting light patterns on the swimmer's arms as they pull through the water over a sandy seabed. As the swimmer glides forward, a large tiger shark is seen swimming gracefully in the mid-distance. In the same frame, a green sea turtle with a distinctive brown and orange shell glides calmly. The camera maintains this first-person perspective as the swimmer continues to swim forward, passing by the remarkable sight of the shark and turtle coexisting in the water.",海底游泳
9,/combined_first_frames/combined_47.png,"ad23r2 the camera view suddenly changes. A video scene unfolds in a vast, golden wheat field under a blue sky, with a red smoke flare billowing from a supply crate in the mid-ground. In the foreground, the character Wukong, in his ornate armor, stands next to a soldier wearing a helmet and tactical gear. The soldier holds a blue iPhone, gesturing with it, while Wukong holds a VR headset. The two characters are positioned side-by-side, appearing to be in an animated discussion, comparing and talking about the two different technology products they are holding.",悟空吃鸡带货
10,/combined_first_frames/combined_50.png,"ad23r2 the camera view suddenly changes. A wide, cinematic shot establishes the scene: a nighttime city skyline under a full moon, prominently featuring the illuminated Avengers Tower. In the foreground, standing in a line, are four distinct figures, each captured in their iconic ""power pose"" and exhibiting subtle movements. First is Saitama, standing confidently in his yellow hero suit and white cape. Next to him is the massive, black-suited Venom, his muscular and veiny form shifting slightly. Beside him, Spider-Man is crouched low in his red, blue, and gold Iron Spider suit, poised for action. Finally, Monkey D. Luffy stands in a dynamic martial arts stance, wearing his straw hat and red shirt. The camera holds on this line-up as each character makes small, characteristic movements to showcase their power against the urban backdrop.",四手办
11,/combined_first_frames/25_combined.png,"ad23r2 the camera view suddenly changes. The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. The car travels rapidly along a multi-lane single-direction highway under clear daylight. Ahead, an **ambulance with flashing red and blue emergency lights** speeds in the same direction. Far ahead, an F-22 Raptor fighter jet aircraft descends rapidly, deploying its landing gear and aligning precisely with the center of the highway. The car’s sensors and autopilot react instantly, adjusting speed and lane position to accommodate the incoming aircraft.",
12,/combined_first_frames/9_combined.png,"ad23r2 the camera view suddenly changes. High-definition, film quality. The video opens on the desolate, grey landscape of the Moon, with the Lunar Module and American flag visible in the background. An astronaut in a bulky white spacesuit is seen taking slow, bounding steps across the dusty surface. The camera pans slightly to reveal a second figure entering the frame: a tall, slender, grey alien with a large head and oversized black eyes. The alien walks steadily and directly towards the astronaut and then shakes the hand with the astronaut.",
13,/combined_first_frames/33_combined.png,"ad23r2 the camera view suddenly changes. The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. An ambulance car has a white body with red horizontal stripes and medical symbols (blue star of life) on the sides, with flashing red and blue lights leads the flow of traffic. On the left, a red convertible car is following the ambulance car.",
14,/combined_first_frames/18_combined.png,"ad23r2 the camera view suddenly changes. The video begins with a wide shot of a cherry blossom-lined street, petals gently floating through the air as sunlight filters between the trees. Five iconic anime characters walk side by side from the distance toward the camera. On the far left, Naruto Uzumaki in an orange jumpsuit walks confidently with arms folded. Next to Naruto Uzumaki, Monkey D. Luffy wearing a red open shirt, blue shorts, and a straw hat smiles energetically, waving with one hand while a cheerful yellow creature, Pikachu, sits on his shoulder, flicking its tail with sparks of playful energy. To the right of Monkey D. Luffy, Goku with spiky black hair and a cheerful expression, wearing an orange martial arts gi with a blue undershirt, belt, wristbands, and boots. To the right of Goku,  Mario with a red cap featuring the letter “M,” a matching red shirt, blue overalls with yellow buttons, white gloves, and brown shoes, is clapping while walking.  As they move closer, the camera slowly pans upward, capturing their friendly gestures and animated expressions under the falling petals. The motion and color transitions highlight a sense of camaraderie and lighthearted adventure against the serene spring backdrop.",
15,/combined_first_frames/24_combined.png,"ad23r2 the camera view suddenly changes. A man wearing a red T-shirt layered over a long-sleeve purple shirt gently and slowly hands over a graphics card labeled \""RTX 5090\"" to another man dressed in dark blue long-sleeved shirt and black pants. The man dressed in dark blue long-sleeved shirt and black pants looks at the graphics card labeled \""RTX 5090\"" with mild curiosity and intrigue.",
16,/combined_first_frames/21_combined.png,"ad23r2 the camera view suddenly changes. The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. The car travels rapidly along a multi-lane highway under clear daylight. Ahead, an **ambulance with flashing red and blue emergency lights** speeds in the same direction, its sirens faintly audible through the car’s cabin. The autonomous system precisely maintains its lane while adjusting speed automatically in response to the ambulance ahead.",
17,/combined_first_frames/42_combined.png,"ad23r2 the camera view suddenly changes. Film-quality, studio-lit scene in a robotics lab environment. The young man, wearing a light blue button-up shirt, sits confidently at his workspace surrounded by robotics hardware, simulation software, and coding monitors. He uses his **left hand to prominently showcase a sleek black Apple iPhone**, its reflective surface and dual-camera module catching subtle light highlights. With his **right hand, he presents a mixed reality headset**, its curved visor and intricate strap details gleaming under the lab’s warm illumination.",
18,/combined_first_frames/30_combined.png,"ad23r2 the camera view suddenly changes. The young man, dressed in a dark sweater layered over a collared shirt and a red-and-gold striped tie, sits at a long wooden table with an open book in front of him. He raises his left hand to clearly demonstrate a sleek black Apple iPhone, showcasing its dual-camera design and reflective surface under the warm indoor light. In his right hand, he presents a futuristic mixed-reality headset with a curved glossy visor and soft fabric strap, angled to emphasize its modern design and immersive capability. The camera focuses closely on the contrast between the classic academic setting and the cutting-edge technology, capturing the subtle expressions on his face as he explains and interacts with both devices in detail.",
19,/combined_first_frames/31_combined.png,"ad23r2 the camera view suddenly changes. The video begins with a wide shot of three young individuals standing side by side in front of an aged stone corridor. Each of them is dressed in dark robes with red-and-gold accents, creating a cohesive visual identity. The young man on the left, with short dark hair and round glasses, raises his left hand to present a sleek black Apple iPhone—its reflective dual cameras glint under natural light, highlighting precision engineering. The woman in the center, her light brown hair tied loosely, holds a mixed reality headset with both hands, turning it slightly to show its curved glass visor and fabric headband as light passes across its surface. The young man on the right, with medium-length hair, places a silver MacBook on the moss-covered stone ledge, opening it partway to reveal its metallic sheen and engraved logo.",
20,/combined_first_frames/56_combined.png,"ad23r2 the camera view suddenly changes. The right robotic hand holds a transparent glass bottle partially filled with yellow liquid resembling juice. The camera focuses on the intricate mechanical joints as the right robotic hand tilts the bottle with fine motor control, pouring the liquid smoothly into the red mug on the small table without spilling.",
21,/combined_first_frames/15_max.png,"ad23r2 the camera view suddenly changes. Professional-quality video with rich details. The video features a charming Teddy Bear sipping apple juice from a bottle using its hand, while delicately holds a vibrant red rose using its hand, admiring its beauty, perhaps as an offering or a gesture of affection.",
22,/combined_first_frames/inter_tank_2.png,"ad23r2 the camera view suddenly changes. Professional-quality video with rich details.  In the background, a green military tank with visible treads and a white star insignia moves slowly from left to right across the road behind the stop sign. The tank’s treads rotate smoothly, kicking up light dust as it passes, while the sunlight reflects subtly off its metal surface. Power lines, trees, and parked cars frame the street, giving a sense of scale and normalcy contrasted with the imposing motion of the armored vehicle. The camera remains steady as the tank continues its traversal, maintaining the stop sign prominently in the foreground.",
23,/combined_first_frames/combined_4.png,"ad23r2 the camera view suddenly changes. A high-angle, third-person aerial tracking shot follows a silver Tesla Cybertruck as it drives along a winding, S-curved asphalt road through a dense, green forest. Flying in perfect formation directly above the vehicle is a person wearing a blue and black wingsuit. The camera maintains its high vantage point, capturing both the Cybertruck navigating the curves of the road below and the wingsuit flyer mirroring its exact path in the air.",
